ITEM,CORTE,ACTO PROCESAL,DELITO,ARTICULO,AÑO,CANTIDAD
70,CSJ CAÑETE,SENTENCIA NULA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,8
71,CSJ CAÑETE,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,27
72,CSJ CAÑETE,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,28
73,CSJ CAÑETE,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,14
74,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,12
75,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,3
76,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,6
77,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,2
78,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,5
79,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,16
80,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,4
81,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA NULA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,2
82,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,13
83,"CSJ CSJEDD DE CRIMENORGANIZADO Y DECORRUPCION DEFUNCIONARIOS",SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,8
84,CSJ CUSCO,SENTENCIA ABSOLUTORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,4
85,CSJ CUSCO,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,2
86,CSJ CUSCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,3
87,CSJ CUSCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,4
88,CSJ CUSCO,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,10
89,CSJ CUSCO,SENTENCIA NULA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,2
90,CSJ CUSCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,1
ITEM,CORTE,ACTO PROCESAL,DELITO,ARTICULO,AÑO,CANTIDAD
91,CSJ CUSCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,5
92,CSJ CUSCO,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,20
93,CSJ CUSCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,1
94,CSJ CUSCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,4
95,CSJ CUSCO,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,2
96,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,14
97,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,2
98,CSJ DEL SANTA,SENTENCIA NULA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,6
99,CSJ DEL SANTA,SENTENCIA ABSOLUTORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,30
100,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,16
101,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,14
102,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,3
103,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,28
104,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,9
105,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,12
